Edades,Total Nacional,Total Hombre,Total Mujer,Total Urbana,Hombre Urbana,Mujer Urbana,Total Rural,Hombre Rural,Mujer Rural
Total,9023838,4381577,4642261,4926042,2295305,2630737,4097796,2086272,2011524
De 00 - 04 Años,884663,464054,420610,447263,227252,220011,437400,236802,200598
De 05 - 09 Años,960522,496097,464425,477375,241039,236335,483148,255058,228090
De 10 - 11 Años,379504,193668,185836,181338,91737,89601,198166,101931,96235
De 12 - 14 Años,553253,282685,270569,265871,134299,131572,287383,148386,138997
De 15 - 18 Años,805951,414873,391078,422117,215137,206980,383834,199736,184097
De 19 - 24 Años,1062047,531747,530301,607284,293621,313663,454763,238126,216638
De 25 - 29 Años,677083,318377,358706,408111,189848,218263,268973,128529,140443
De 30 - 34 Años,602131,275727,326404,359726,159635,200091,242405,116092,126313
De 35 - 39 Años,530556,233962,296593,281747,113591,168156,248808,120371,128437
De 40 - 44 Años,499007,223024,275983,283939,123495,160445,215067,99530,115538
De 45 - 49 Años,418959,195388,223572,234677,101707,132970,184282,93680,90602
De 50 - 54 Años,380967,172428,208539,224023,88322,135701,156944,84106,72838
De 55 - 59 Años,320799,147285,173514,184142,79187,104955,136657,68098,68559
De 60 - 64 Años,284353,133307,151046,172755,81311,91445,111597,51997,59601
De 65 y mas Años,664042,298955,365087,375674,155125,220549,288368,143830,144538
