"anio","mes","fecha","ipce","coefic"
"2020","11","2020-11-1","344.984923","1.259544"
"2020","11","2020-11-2","345.02159","1.259677"
"2020","11","2020-11-3","345.058257","1.259811"
"2020","11","2020-11-4","345.094924","1.259945"
"2020","11","2020-11-5","345.131591","1.260079"
"2020","11","2020-11-6","345.168258","1.260213"
"2020","11","2020-11-7","345.204925","1.260347"
"2020","11","2020-11-8","345.241592","1.260481"
"2020","11","2020-11-9","345.278259","1.260615"
"2020","11","2020-11-10","345.314926","1.260748"
"2020","11","2020-11-11","345.351593","1.260882"
"2020","11","2020-11-12","345.38826","1.261016"
"2020","11","2020-11-13","345.424927","1.26115"
"2020","11","2020-11-14","345.461594","1.261284"
"2020","11","2020-11-15","345.498261","1.261418"
"2020","11","2020-11-16","345.534928","1.261552"
"2020","11","2020-11-17","345.571595","1.261686"
"2020","11","2020-11-18","345.608262","1.261819"
"2020","11","2020-11-19","345.644929","1.261953"
"2020","11","2020-11-20","345.681596","1.262087"
"2020","11","2020-11-21","345.718263","1.262221"
"2020","11","2020-11-22","345.75493","1.262355"
"2020","11","2020-11-23","345.791597","1.262489"
"2020","11","2020-11-24","345.828264","1.262623"
"2020","11","2020-11-25","345.864931","1.262756"
"2020","11","2020-11-26","345.901598","1.26289"
"2020","11","2020-11-27","345.938265","1.263024"
"2020","11","2020-11-28","345.974932","1.263158"
"2020","11","2020-11-29","346.011599","1.263292"
"2020","11","2020-11-30","346.048266","1.263426"
"2020","10","2020-10-1","344.367606","1.25729"
"2020","10","2020-10-2","344.386961","1.25736"
"2020","10","2020-10-3","344.406316","1.257431"
"2020","10","2020-10-4","344.425671","1.257502"
"2020","10","2020-10-5","344.445026","1.257572"
"2020","10","2020-10-6","344.464381","1.257643"
"2020","10","2020-10-7","344.483736","1.257714"
"2020","10","2020-10-8","344.503091","1.257784"
"2020","10","2020-10-9","344.522446","1.257855"
"2020","10","2020-10-10","344.541801","1.257926"
"2020","10","2020-10-11","344.561156","1.257996"
"2020","10","2020-10-12","344.580511","1.258067"
"2020","10","2020-10-13","344.599866","1.258138"
"2020","10","2020-10-14","344.619221","1.258208"
"2020","10","2020-10-15","344.638576","1.258279"
"2020","10","2020-10-16","344.657931","1.25835"
"2020","10","2020-10-17","344.677286","1.25842"
"2020","10","2020-10-18","344.696641","1.258491"
"2020","10","2020-10-19","344.715996","1.258562"
"2020","10","2020-10-20","344.735351","1.258632"
"2020","10","2020-10-21","344.754706","1.258703"
"2020","10","2020-10-22","344.774061","1.258774"
"2020","10","2020-10-23","344.793416","1.258844"
"2020","10","2020-10-24","344.812771","1.258915"
"2020","10","2020-10-25","344.832126","1.258986"
"2020","10","2020-10-26","344.851481","1.259056"
"2020","10","2020-10-27","344.870836","1.259127"
"2020","10","2020-10-28","344.890191","1.259198"
"2020","10","2020-10-29","344.909546","1.259268"
"2020","10","2020-10-30","344.928901","1.259339"
"2020","10","2020-10-31","344.948256","1.25941"
"2020","9","2020-9-1","342.028251","1.248749"
"2020","9","2020-9-2","342.108251","1.249041"
"2020","9","2020-9-3","342.188251","1.249333"
"2020","9","2020-9-4","342.268251","1.249625"
"2020","9","2020-9-5","342.348251","1.249917"
"2020","9","2020-9-6","342.428251","1.250209"
"2020","9","2020-9-7","342.508251","1.250501"
"2020","9","2020-9-8","342.588251","1.250793"
"2020","9","2020-9-9","342.668251","1.251085"
"2020","9","2020-9-10","342.748251","1.251377"
"2020","9","2020-9-11","342.828251","1.25167"
"2020","9","2020-9-12","342.908251","1.251962"
"2020","9","2020-9-13","342.988251","1.252254"
"2020","9","2020-9-14","343.068251","1.252546"
"2020","9","2020-9-15","343.148251","1.252838"
"2020","9","2020-9-16","343.228251","1.25313"
"2020","9","2020-9-17","343.308251","1.253422"
"2020","9","2020-9-18","343.388251","1.253714"
