"anio","mes","dia","ipce","coeficiente"
"2018","12","2018-12-1","320.706339","1.170902"
"2018","12","2018-12-2","320.764404","1.171114"
"2018","12","2018-12-3","320.822469","1.171326"
"2018","12","2018-12-4","320.880534","1.171538"
"2018","12","2018-12-5","320.938599","1.17175"
"2018","12","2018-12-6","320.996664","1.171962"
"2018","12","2018-12-7","321.054729","1.172174"
"2018","12","2018-12-8","321.112794","1.172386"
"2018","12","2018-12-9","321.170859","1.172598"
"2018","12","2018-12-10","321.228924","1.17281"
"2018","12","2018-12-11","321.286989","1.173022"
"2018","12","2018-12-12","321.345054","1.173234"
"2018","12","2018-12-13","321.403119","1.173446"
"2018","12","2018-12-14","321.461184","1.173658"
"2018","12","2018-12-15","321.519249","1.17387"
"2018","12","2018-12-16","321.577314","1.174082"
"2018","12","2018-12-17","321.635379","1.174294"
"2018","12","2018-12-18","321.693444","1.174506"
"2018","12","2018-12-19","321.751509","1.174718"
"2018","12","2018-12-20","321.809574","1.17493"
"2018","12","2018-12-21","321.867639","1.175142"
"2018","12","2018-12-22","321.925704","1.175354"
"2018","12","2018-12-23","321.983769","1.175566"
"2018","12","2018-12-24","322.041834","1.175778"
"2018","12","2018-12-25","322.099899","1.17599"
"2018","12","2018-12-26","322.157964","1.176202"
"2018","12","2018-12-27","322.216029","1.176414"
"2018","12","2018-12-28","322.274094","1.176626"
"2018","12","2018-12-29","322.332159","1.176838"
"2018","12","2018-12-30","322.390224","1.17705"
"2018","12","2018-12-31","322.448289","1.177262"
"2018","11","2018-11-1","320.551617","1.170337"
"2018","11","2018-11-2","320.55495","1.170349"
"2018","11","2018-11-3","320.558283","1.170362"
"2018","11","2018-11-4","320.561616","1.170374"
"2018","11","2018-11-5","320.564949","1.170386"
"2018","11","2018-11-6","320.568282","1.170398"
"2018","11","2018-11-7","320.571615","1.17041"
"2018","11","2018-11-8","320.574948","1.170423"
"2018","11","2018-11-9","320.578281","1.170435"
"2018","11","2018-11-10","320.581614","1.170447"
"2018","11","2018-11-11","320.584947","1.170459"
"2018","11","2018-11-12","320.58828","1.170471"
"2018","11","2018-11-13","320.591613","1.170483"
"2018","11","2018-11-14","320.594946","1.170496"
"2018","11","2018-11-15","320.598279","1.170508"
"2018","11","2018-11-16","320.601612","1.17052"
"2018","11","2018-11-17","320.604945","1.170532"
"2018","11","2018-11-18","320.608278","1.170544"
"2018","11","2018-11-19","320.611611","1.170556"
"2018","11","2018-11-20","320.614944","1.170569"
"2018","11","2018-11-21","320.618277","1.170581"
"2018","11","2018-11-22","320.62161","1.170593"
"2018","11","2018-11-23","320.624943","1.170605"
"2018","11","2018-11-24","320.628276","1.170617"
"2018","11","2018-11-25","320.631609","1.170629"
"2018","11","2018-11-26","320.634942","1.170642"
"2018","11","2018-11-27","320.638275","1.170654"
"2018","11","2018-11-28","320.641608","1.170666"
"2018","11","2018-11-29","320.644941","1.170678"
"2018","11","2018-11-30","320.648274","1.17069"
"2018","10","2018-10-1","319.193454","1.165379"
"2018","10","2018-10-2","319.238615","1.165544"
"2018","10","2018-10-3","319.283776","1.165708"
"2018","10","2018-10-4","319.328937","1.165873"
"2018","10","2018-10-5","319.374098","1.166038"
"2018","10","2018-10-6","319.419259","1.166203"
"2018","10","2018-10-7","319.46442","1.166368"
"2018","10","2018-10-8","319.509581","1.166533"
"2018","10","2018-10-9","319.554742","1.166698"
"2018","10","2018-10-10","319.599903","1.166863"
"2018","10","2018-10-11","319.645064","1.167027"
"2018","10","2018-10-12","319.690225","1.167192"
"2018","10","2018-10-13","319.735386","1.167357"
"2018","10","2018-10-14","319.780547","1.167522"
"2018","10","2018-10-15","319.825708","1.167687"
"2018","10","2018-10-16","319.870869","1.167852"
"2018","10","2018-10-17","319.91603","1.168017"
"2018","10","2018-10-18","319.961191","1.168182"
"2018","10","2018-10-19","320.006352","1.168347"
"2018","10","2018-10-20","320.051513","1.168511"
"2018","10","2018-10-21","320.096674","1.168676"
"2018","10","2018-10-22","320.141835","1.168841"
"2018","10","2018-10-23","320.186996","1.169006"
"2018","10","2018-10-24","320.232157","1.169171"
"2018","10","2018-10-25","320.277318","1.169336"
"2018","10","2018-10-26","320.322479","1.169501"
"2018","10","2018-10-27","320.36764","1.169666"
"2018","10","2018-10-28","320.412801","1.169831"
"2018","10","2018-10-29","320.457962","1.169995"
"2018","10","2018-10-30","320.503123","1.17016"
