No.;Departamento;Municipio;Año;Nombre del Documento;Tipo de evaluacion;Fuente;Documento para descarga
126;Francisco Morazan ;Distrito Central;2019;mdsp;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
127;Francisco Morazan ;Guaimaca;2019;Guaimaca Inst. Oficial Guaimaca ;Mancomunidad del Norte de Francisco Morazan;Direccion de Prevencion;https://cenid-gdr.org/
128;Francisco Morazan ;Orica ;2019;Orica CB Francisco Morazan ;Mancomunidad del Norte de Francisco Morazan;Direccion de Prevencion;https://cenid-gdr.org/?q=content/orica-francisco-moraz%C3%A1n-0
129;Francisco Morazan ;Orica ;2019;Orica CB Oscar Armando Flores ;Mancomunidad del Norte de Francisco Morazan;Direccion de Prevencion;https://cenid-gdr.org/?q=content/orica-francisco-moraz%C3%A1n-1
130;Francisco Morazan ;Valle de Angeles;2019;Valle de Angeles Esc. Israel Muñoz ;Mancomunidad del Norte de Francisco Morazan;Direccion de Prevencion;https://cenid-gdr.org/
131;Francisco Morazan ;Valle de Angeles;2019;Valle de Angeles Esc. Policarpo Bonilla ;Mancomunidad del Norte de Francisco Morazan;Direccion de Prevencion;https://cenid-gdr.org/
132;Francisco Morazan ;Distrito Central;2019;Informacion de Evaluacion de Riesgo Residencial Villas del Bosque;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
133;Francisco Morazan ;Distrito Central;2019;Informe Residencial Santa María ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
134;Francisco Morazan ;Distrito Central;2019;Col. La Sosa;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/?q=content/col-la-sosa-francisco-moraz%C3%A1n-0
135;Intibuca;Intibuca;2019;Informe de Emplazamiento Residencial El Molino Intibuca;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
136;Intibuca;La Esperanza;2019;Informe Residencial Los Arrayanes ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20%20Residencial%20Los%20Arrayanes.pdf
137;Islas de la Bahia ;Roatan;2019;Ludys Village ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
138;Islas de la Bahia ;Roatan;2019;Planta Solar Fotovoltaica Roatan ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
139;Islas de la Bahia ;Roatan;2019;Grand Roatan 3;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
140;Islas de la Bahia ;Roatan;2019;Las Palmas ;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20COPECOSG0169P2019E%2C%20Las%20Palmas.pdf
141;La Paz ;La Paz ;2019; Los Mangos ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20COPECO-SG-0135-2019-E%2C%20LOS%20MANGOS.pdf
142;Lempira;La Union;2019;Centro Basico La Union;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
143;Ocotepeque;Ocotepeque;2019;Prados Verdes Ocotepeque ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
144;Ocotepeque;Ocotepeque;2019;Prados Verdes Ocotepeque ;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
145;Ocotepeque;Sinuapa;2019;Lotificacion Sinai;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/?q=content/sinuapa-ocotepeque-1
146;San Lorenzo ;Valle ;2019;Informe de Evaluacion de Sitio Convivienda San Lorenzo;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/?q=content/san-lorenzo-valle-7
147;Santa barbara;Distrito Central;2019;Proyecto Lotificacion Santa Barbara ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
148;Santa barbara;Santa barbara;2019;Santa Barbara Informe ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/?q=content/santa-b%C3%A1rbara-santa-b%C3%A1rbara-0
149;Trujillo ;Trujillo;2019;CT Playa Peru ;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
150;Trujillo ;Colon ;2019;Informe Proyecto Honduras Aguan;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/?q=content/trujillo-col%C3%B3n-9
151;Yoro;Olanchito;2019;Santa Clara;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20COPECOSG0221P2019E%2C%20Santa%20Clara%2C%20Olanchito%2C%20Yoro%20%281%29.pdf
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
