No.;Departamento;Municipio;Año;Nombre del Documento;Tipo de evaluacion;Fuente;Documento para descarga
1;Atlantida ;Ceiba ;2019;Res. El Dorado;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/?q=content/la-ceiba-atl%C3%A1ntida-14
2;Atlantida ;La Ceiba;2019;Planta Termica la Ensenada ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
3;Choluteca ;Choluteca;2019;Proyecto Res. Villas Madrigal;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/?q=content/choluteca-choluteca-20
4;Comayagua ;Distrito Central;2019;Comayagua Colonia Nueva Esperanza;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
5;Comayagua ;Siguatepeque;2019;Informe Geofisica Bosques de Villa Alicia;Geofisico ;Direccion de Prevencion;https://cenid-gdr.org/
6;Comayagua ;Comayagua ;2019;Informe Proyecto Subestacion Electrica Reguleto 138Kv;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
7;Comayagua ;Comayagua ;2019;Comayagua;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
8;Comayagua ;Comayagua ;2019;Evaluacion de Riesgo Comayagua ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
9;Comayagua ;Comayagua ;2019;Prados de Comayagua ll ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20Prados%20de%20Comayagua%20II%20%28CopecoSG0P2019E%29.pdf
10;Comayagua ;Comayagua ;2019;GAS LPG;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20COPECOSG0238P2019E%20GAS%20LPG.pdf
11;Copan;San Pedro Copan;2019;Proyecto Santa Fe;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
12;Copan ;Santa Rosa de Copan ;2019;Reporte de Evaluacion;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/sites/default/files/Informe%20Reporte%20de%20evaluacion.pdf
13;Cortes;Puerto Cortes;2019;Puerto Cortes Camaguey;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
14;Cortes;San Pedro Sula;2019;Informe Valle Verde SPS;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
15;Cortes;San Pedro Sula;2019;Informe de Afectacion llanticentro barandillas;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
16;El Paraiso;El Paraiso;2019;El Paraiso;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
17;El Paraiso;Danli;2019;Res. La Primavera ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
18;El Paraiso;Trojes;2019;Proyecto Villa Isabel;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
19;Francisco Morazan ;Distrito Central;2019;Res. Altos de Venecia III;Prevencion de la Alcaldia;Alcaldia Municipal del Distrito Central;https://cenid-gdr.org/
20;Francisco Morazan ;Distrito Central;2019;Res. Laureles Real Bloque B Casa No.24;Prevencion de la Alcaldia;Alcaldia Municipal del Distrito Central;https://cenid-gdr.org/
21;Francisco Morazan ;Distrito Central;2019;Res. Laureles Real Bloque C Casa No.16;Prevencion de la Alcaldia;Alcaldia Municipal del Distrito Central;https://cenid-gdr.org/
22;Francisco Morazan ;Distrito Central;2019;Res. Laureles Real Bloque C Casa No.34 ;Prevencion de la Alcaldia;Alcaldia Municipal del Distrito Central;https://cenid-gdr.org/
23;Francisco Morazan ;Distrito Central;2019;Inspeccion La Bonita ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
24;Francisco Morazan ;Distrito Central;2019;Centro Basico Miraflores ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
25;Francisco Morazan ;Distrito Central;2019;Praderas Dignas ;Revision de informes de evaluacion;Direccion de Prevencion;https://cenid-gdr.org/
26;Francisco Morazan ;Distrito Central;2019;Prados del Sol ;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
27;Francisco Morazan ;Distrito Central;2019;Bo. La Ronda;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
28;Francisco Morazan ;Distrito Central;2019;Hospital Viera;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
29;Francisco Morazan ;Distrito Central;2019;Informe Ciudad Verde ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
30;Francisco Morazan ;Distrito Central;2019;Ciudadano Josue Misael ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
31;Francisco Morazan ;Distrito Central;2019;Informe Relleno Sanitario IB PGRD;Geofisico ;Direccion de Prevencion;https://cenid-gdr.org/
32;Francisco Morazan ;Distrito Central;2019;Centro Educativo San Miguel Componentes No Estructural ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
33;Francisco Morazan ;Distrito Central;2019;Inspeccion a Clinica Polideportivo UNAH;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
34;Francisco Morazan ;Distrito Central;2019;Inspeccion Por Contaminacion en la Res. La Concepcion ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
35;Francisco Morazan ;Distrito Central;2019;Evaluacion al Suazo Cordova ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
36;Francisco Morazan ;Distrito Central;2019;Evaluacion de Sitio;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
37;Francisco Morazan ;Distrito Central;2019;Revisiones Informes COPECO Regional 2;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
38;Francisco Morazan ;Distrito Central;2019;Hato de En medio;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
39;Francisco Morazan ;Distrito Central;2019;Hato de En medio;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
40;Francisco Morazan ;Distrito Central;2019;Hato de En medio;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
41;Francisco Morazan ;Distrito Central;2019;Lomas de Toncontin;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
42;Francisco Morazan ;Distrito Central;2019;Informe Centro Educativo Daniel Christian School II ;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
43;Francisco Morazan ;Distrito Central;2019;El Meztizal Olanchito;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
44;Francisco Morazan ;Distrito Central;2019;Res. Miravalle;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
45;Francisco Morazan ;Distrito Central;2019;Res. Valle Escondido ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
46;Francisco Morazan ;Distrito Central;2019;Informe de Evaluacion de Emplazamiento Fortalecimiento Integral de la Red de Atencion de Traumas y Urgencias de Distrito Central;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
47;Francisco Morazan ;Distrito Central;2019;Asociacion para una Soc. Mas Justa ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
48;Francisco Morazan ;Distrito Central;2019;Lago Landia;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
49;Francisco Morazan ;Distrito Central;2019;Ciudadano E. Joselyn ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
50;Francisco Morazan ;Distrito Central;2019;Evaluacion de Riesgo;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
51;Francisco Morazan ;Distrito Central;2019;El Progreso ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
52;Francisco Morazan ;Distrito Central;2019;Evaluacion HI SC ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
53;Francisco Morazan ;Distrito Central;2019; Loarque COPECO;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
54;Francisco Morazan ;Distrito Central;2019;Reporte de Evaluacion del Edificio AMGOO ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
55;Francisco Morazan ;Distrito Central;2019;Reporte de Evaluacion Mall Multiplaza;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
56;Francisco Morazan ;Distrito Central;2019;Informe Geofisica Colonia Villanueva Sector 7;Geofisico ;Direccion de Prevencion;https://cenid-gdr.org/
57;Francisco Morazan ;Distrito Central;2019;Componente Estructural ENEE;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
58;Francisco Morazan ;Distrito Central;2019;Componente Estructural SAR Centro ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
59;Francisco Morazan ;Distrito Central;2019;Componente Estructural SAR Palmira ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
60;Francisco Morazan ;Distrito Central;2019;Edificio 2020 CENICAC;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
61;Francisco Morazan ;Valle de Angeles;2019;Afectacion Valle de Angeles ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
62;Francisco Morazan ;Distrito Central;2019;Reporte de Daños Campo Cielo ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
63;Francisco Morazan ;Distrito Central;2019;Revision de informe;Revision de informes de evaluacion;Direccion de Prevencion;https://cenid-gdr.org/
64;Francisco Morazan ;Distrito Central;2019;Rev. Estudio Mecanico de Suelo Hosp. Trauma 0001;Revision de informes de evaluacion;Direccion de Prevencion;https://cenid-gdr.org/
65;Francisco Morazan ;Distrito Central;2019;Central Termica Rentas Americas;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
66;Francisco Morazan ;Distrito Central;2019;Despensa Familiar ;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
67;Francisco Morazan ;Distrito Central;2019;Informe Centro Educativo Daniel Christian School II ;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
68;Francisco Morazan ;Distrito Central;2019;Lifeline Christian Academy;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
69;Francisco Morazan ;Distrito Central;2019;Res. Monteliz ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
70;Francisco Morazan ;Distrito Central;2019;Campo Cielo ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
71;Francisco Morazan ;Distrito Central;2019;Altos Lomitas ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
72;Francisco Morazan ;Distrito Central;2019;Informacion de Evaluacion de Riesgo Col. Linda Vista ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
73;Francisco Morazan ;Distrito Central;2019;Informacion de Evaluacion de Riesgo Proyecto Residencial Sauceda ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
74;Francisco Morazan ;Distrito Central;2019;Informe Evaluacion de Sitio Mariscos Reyes ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
75;Francisco Morazan ;Distrito Central;2019;Informe de Riesgo Inversiones  Zaldivar Corregido ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
76;Francisco Morazan ;Distrito Central;2019;Fuerza Aerea Informe Geofisica ;Geofisico ;Direccion de Prevencion;https://cenid-gdr.org/
77;Francisco Morazan ;Distrito Central;2019;Res. Laureles Real;Geofisico ;Direccion de Prevencion;https://cenid-gdr.org/
78;Francisco Morazan ;Distrito Central;2019;Informe de Afectacion 23 de Junio JO;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
79;Francisco Morazan ;Distrito Central;2019;Informe de Afectacion DL ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
80;Francisco Morazan ;Distrito Central;2019;Ciudadano Arnold Amaya ;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
81;Francisco Morazan ;Distrito Central;2019;Centro Educativo Jose Trinidad Reyes;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
82;Francisco Morazan ;Distrito Central;2019;Informe Instituto Cerro de Plata ;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
83;Francisco Morazan ;Distrito Central;2019;Prados de Sinuapa;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
84;Francisco Morazan ;Distrito Central;2019;Informe Proyecto Residencial FONTAINEBLEU;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
85;Francisco Morazan ;Distrito Central;2019;Informe Proyecto Residencial VIZCAYA;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
86;Francisco Morazan ;Distrito Central;2019;Informe Urbanizacion Santa Anita ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
87;Francisco Morazan ;Distrito Central;2019;Res. Coviludil II COPECO;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
88;Francisco Morazan ;Distrito Central;2019;Colonia Nueva Esperanza;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
89;Francisco Morazan ;Distrito Central;2019;Colonia Tiloarque;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
90;Francisco Morazan ;Distrito Central;2019;Mercy Medical Center;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
91;Francisco Morazan ;Distrito Central;2019;INVEST;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
92;Francisco Morazan ;Distrito Central;2019;Ministerio Publico CENICAC;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
93;Francisco Morazan ;Distrito Central;2019;Residencial Las Hadas;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
94;Francisco Morazan ;Distrito Central;2019;Edificio Ministerio Publico Lomas ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
95;Francisco Morazan ;Distrito Central;2019;Inspeccion ARROW;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
96;Francisco Morazan ;Distrito Central;2019;Inspeccion Secreatria de los Derechos Humanos ;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
97;Francisco Morazan ;Distrito Central;2019;Informe de Afectacion 23 de Junio JO;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
98;Francisco Morazan ;Distrito Central;2019;Reporte de Daño Bernardo Dazzy;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
99;Francisco Morazan ;Valle de Angeles;2019;Reporte de Daño Valle de Angeles ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
100;Francisco Morazan ;Distrito Central;2019;Res. Brisas del Valle;Revision de informes de evaluacion;Direccion de Prevencion;https://cenid-gdr.org/
101;Francisco Morazan ;Distrito Central;2019;Quebrada Agua Salada Las Colinas;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
102;Francisco Morazan ;Distrito Central;2019;Bodega NetGo;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
103;Francisco Morazan ;Distrito Central;2019;Informacion de Evaluacion de Riesgo Proyecto Las Casitas ;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
104;Francisco Morazan ;Distrito Central;2019;Informe Inspeccion Integrity Academy;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
105;Francisco Morazan ;Distrito Central;2019;Informe de Daños San Buenaventura ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
106;Francisco Morazan ;Distrito Central;2019;Reporte de Daño Mall Cascadas ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
107;Francisco Morazan ;Distrito Central;2019;Informe Proyecto Subestacion Electrica El Progreso;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/
108;Francisco Morazan ;Distrito Central;2019;Res. Prados Verdes;Prevencion de la Alcaldia;Direccion de Prevencion;https://cenid-gdr.org/
109;Francisco Morazan ;Distrito Central;2019;Residencial Altos de San Isidro ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
110;Santa barbara;Las Vegas;2019;Jefatura Policial Las Vegas;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
111;Cortes;Los Naranjos;2019;Jefatura Policial Los Naranjos;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
112;Francisco Morazan ;Distrito Central;2019;Evaluacion IPM;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
113;Francisco Morazan ;Distrito Central;2019;Informe de Emplazamiento Lotificacion El Copante ;Emplazamiento y Medio Construido;Direccion de Prevencion;https://cenid-gdr.org/
114;Francisco Morazan ;Distrito Central;2019;COPECO-SG-0118P-2019-E Informe Evaluacion de Riesgo;Evaluacion de Riesgo;Direccion de Prevencion;https://cenid-gdr.org/
115;Francisco Morazan ;Distrito Central;2019;Edificio en Materia de Extorcion;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
116;Francisco Morazan ;Distrito Central;2019;Edificio Medicina Forense;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
117;Francisco Morazan ;Distrito Central;2019;Edificio MP Comayaguela;Inspeccion;Direccion de Prevencion;https://cenid-gdr.org/
118;Francisco Morazan ;Distrito Central;2019;Informe de Evaluacion de Helipuerto Casa Presidencial ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
119;Francisco Morazan ;Distrito Central;2019;Reporte de Daños Col. Alameda ;Afectacion por daños;Direccion de Prevencion;https://cenid-gdr.org/
120;Francisco Morazan ;Distrito Central ;2019;Col. Tiloarque;Evaluacion de Sitio;Direccion de Prevencion;https://cenid-gdr.org/?q=content/col-tiloarque
121;Francisco Morazan ;San Ignacio ;2019;Informe CB Marco Aurelio Soto;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/?q=content/san-ignacio-francisco-moraz%C3%A1n-1
122;Francisco Morazan ;Cantarranas ;2019;Informe CE Polivalente San Juan de Flores Cantarranas;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/?q=content/cantarranas-francisco-moraz%C3%A1n-0
123;Francisco Morazan ;El  Porvenir;2019;Informe Jose Trinidad Reyes 2;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/?q=content/el-porvenir-francisco-moraz%C3%A1n-0
124;Francisco Morazan ;San antonio de Oriente;2019;Informe Roberto Hasburn 2;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/?q=content/san-antonio-de-oriente-francisco-moraz%C3%A1n-3
125;Francisco Morazan ;Distrito Central;2019;Informe Simon Bolivar;Prevencion en Centros Educativos;Direccion de Prevencion;https://cenid-gdr.org/
