"Ano","Mes","Descripcion","Monto","PIB"
"2018","1","INGRESOS Y DONACIONES","14129.9","2.4"
"2018","1","INGRESOS CORRIENTES","13994.7","2.4"
"2018","1","Ingresos Tributarios","7981.8","1.4"
"2018","1","Ingresos No Tributarios","708.1",".1"
"2018","1","Tasa de Seguridad","218.8","0"
"2018","1","Contribuciones para Pensiones y Seguro Social","1601.4",".3"
"2018","1","Ventas de Bienes y Servicios","2287.9",".4"
"2018","1","Intereses y Dividendos","897.9",".2"
"2018","1","Transferencias Corrientes","13.7","0"
"2018","1","Otros","285.2","0"
"2018","1","DONACIONES","98.3","0"
"2018","1","INGRESOS DE CAPITAL","37","0"
"2018","1","Ingresos","32.5","0"
"2018","1","Transferencias de Capital","4.5","0"
"2018","1","GASTOS","10711.9","1.8"
"2018","1","GASTOS CORRIENTES","9684.2","1.7"
"2018","1","Sueldos y Salarios","4579.8",".8"
"2018","1","Compra de Bienes y Servicios","2684.5",".5"
"2018","1","Intereses Pagados","1102.7",".2"
"2018","1","Transferencias Corrientes","1311",".2"
"2018","1","Otros Gastos Corrientes","6.2","0"
"2018","1","GASTOS DE CAPITAL","1027.7",".2"
"2018","1","Inversion Real","505.2",".1"
"2018","1","Variacion de Inventarios","-80.7","0"
"2018","1","Otros Gastos de Capital","97.7","0"
"2018","1","Transferencias de Capital","505.5",".1"
"2018","1","BALANCE GLOBAL NETO","3418",".6"
"2018","1","FINANCIAMIENTO","-3418","-.6"
"2018","2","INGRESOS Y DONACIONES","26247.9","4.5"
"2018","2","INGRESOS CORRIENTES","25852.5","4.4"
"2018","2","Ingresos Tributarios","14202.2","2.4"
"2018","2","Ingresos No Tributarios","1443.9",".2"
"2018","2","Tasa de Seguridad","458.3",".1"
"2018","2","Contribuciones para Pensiones y Seguro Social","3142.5",".5"
"2018","2","Ventas de Bienes y Servicios","4573.7",".8"
"2018","2","Intereses y Dividendos","1530.4",".3"
"2018","2","Transferencias Corrientes","23.1","0"
"2018","2","Otros","478.3",".1"
"2018","2","DONACIONES","308.6",".1"
"2018","2","INGRESOS DE CAPITAL","86.8","0"
"2018","2","Ingresos","77.9","0"
"2018","2","Transferencias de Capital","9","0"
"2018","2","GASTOS","22886","3.9"
"2018","2","GASTOS CORRIENTES","19553.7","3.4"
"2018","2","Sueldos y Salarios","9039.1","1.6"
"2018","2","Compra de Bienes y Servicios","5730.5","1"
"2018","2","Intereses Pagados","2035.3",".3"
"2018","2","Transferencias Corrientes","2730.9",".5"
"2018","2","Otros Gastos Corrientes","18","0"
"2018","2","GASTOS DE CAPITAL","3332.2",".6"
"2018","2","Inversion Real","2084.2",".4"
"2018","2","Variacion de Inventarios","14.1","0"
"2018","2","Otros Gastos de Capital","230.9","0"
"2018","2","Transferencias de Capital","1002.9",".2"
"2018","2","BALANCE GLOBAL NETO","3361.9",".6"
"2018","2","FINANCIAMIENTO","-3361.9","-.6"
"2018","3","INGRESOS Y DONACIONES","38427.9","6.6"
"2018","3","INGRESOS CORRIENTES","37823.8","6.5"
"2018","3","Ingresos Tributarios","20540.4","3.5"
"2018","3","Ingresos No Tributarios","2156.1",".4"
"2018","3","Tasa de Seguridad","675.9",".1"
"2018","3","Contribuciones para Pensiones y Seguro Social","4656.9",".8"
"2018","3","Ventas de Bienes y Servicios","6995.5","1.2"
"2018","3","Intereses y Dividendos","2066.7",".4"
"2018","3","Transferencias Corrientes","33.9","0"
"2018","3","Otros","698.3",".1"
"2018","3","DONACIONES","494.7",".1"
"2018","3","INGRESOS DE CAPITAL","109.4","0"
"2018","3","Ingresos","95.9","0"
"2018","3","Transferencias de Capital","13.5","0"
"2018","3","GASTOS","36406.9","6.3"
"2018","3","GASTOS CORRIENTES","30854.6","5.3"
"2018","3","Sueldos y Salarios","13817.3","2.4"
"2018","3","Compra de Bienes y Servicios","9492.3","1.6"
"2018","3","Intereses Pagados","3234.2",".6"
"2018","3","Transferencias Corrientes","4287.3",".7"
"2018","3","Otros Gastos Corrientes","23.5","0"
"2018","3","GASTOS DE CAPITAL","5552.3","1"
"2018","3","Inversion Real","3820.7",".7"
"2018","3","Variacion de Inventarios","-81.4","0"
"2018","3","Otros Gastos de Capital","322.4",".1"
"2018","3","Transferencias de Capital","1490.6",".3"
"2018","3","BALANCE GLOBAL NETO","2021",".3"
"2018","3","FINANCIAMIENTO","-2021","-.3"
"2018","4","INGRESOS Y DONACIONES","58760.1","10.1"
"2018","4","INGRESOS CORRIENTES","57906.2","9.9"
"2018","4","Ingresos Tributarios","34561.3","5.9"
"2018","4","Ingresos No Tributarios","2598",".4"
"2018","4","Tasa de Seguridad","896.9",".2"
"2018","4","Contribuciones para Pensiones y Seguro Social","6241.6","1.1"
"2018","4","Ventas de Bienes y Servicios","9460.7","1.6"
"2018","4","Intereses y Dividendos","3171.1",".5"
"2018","4","Transferencias Corrientes","39.5","0"
"2018","4","Otros","937.2",".2"
"2018","4","DONACIONES","695.7",".1"
"2018","4","INGRESOS DE CAPITAL","158.2","0"
"2018","4","Ingresos","144.7","0"
"2018","4","Transferencias de Capital","13.5","0"
"2018","4","GASTOS","51078.4","8.8"
"2018","4","GASTOS CORRIENTES","42394.2","7.3"
"2018","4","Sueldos y Salarios","18739.9","3.2"
"2018","4","Compra de Bienes y Servicios","13562.5","2.3"
"2018","4","Intereses Pagados","3677.8",".6"
"2018","4","Transferencias Corrientes","6388.3","1.1"
"2018","4","Otros Gastos Corrientes","25.7","0"
"2018","4","GASTOS DE CAPITAL","8684.2","1.5"
"2018","4","Inversion Real","6217.5","1.1"
"2018","4","Variacion de Inventarios","35.1","0"
"2018","4","Otros Gastos de Capital","413.2",".1"
"2018","4","Transferencias de Capital","2018.4",".3"
"2018","4","BALANCE GLOBAL NETO","7681.7","1.3"
"2018","4","FINANCIAMIENTO","-7681.7","-1.3"
"2018","5","INGRESOS Y DONACIONES","72767","12.5"
"2018","5","INGRESOS CORRIENTES","71563.8","12.3"
"2018","5","Ingresos Tributarios","42768.1","7.3"
"2018","5","Ingresos No Tributarios","3076.8",".5"
