"Ano","Mes","Descripcion","Monto","PIB"
"2017","1","INGRESOS Y DONACIONES","11196.4","2.1"
"2017","1","INGRESOS CORRIENTES","11020.2","2.1"
"2017","1","Ingresos Tributarios","6808.1","1.3"
"2017","1","Ingresos No Tributarios","584.3",".1"
"2017","1","Tasa de Seguridad","247.3","0"
"2017","1","Contribuciones para Pensiones y Seguro Social","1313.6",".2"
"2017","1","Ventas de Bienes y Servicios","1062.9",".2"
"2017","1","Intereses y Dividendos","815.6",".2"
"2017","1","Transferencias Corrientes","6.3","0"
"2017","1","Otros","182.1","0"
"2017","1","DONACIONES","136.5","0"
"2017","1","INGRESOS DE CAPITAL","39.7","0"
"2017","1","Ingresos","35.2","0"
"2017","1","Transferencias de Capital","4.5","0"
"2017","1","GASTOS","8958.9","1.7"
"2017","1","GASTOS CORRIENTES","7566.9","1.4"
"2017","1","Sueldos y Salarios","4167.2",".8"
"2017","1","Compra de Bienes y Servicios","1527.2",".3"
"2017","1","Intereses Pagados","832.4",".2"
"2017","1","Transferencias Corrientes","1029.2",".2"
"2017","1","Otros Gastos Corrientes","10.9","0"
"2017","1","GASTOS DE CAPITAL","1392.1",".3"
"2017","1","Inversion Real","799.3",".2"
"2017","1","Variacion de Inventarios","-218","0"
"2017","1","Otros Gastos de Capital","139.2","0"
"2017","1","Transferencias de Capital","671.6",".1"
"2017","1","BALANCE GLOBAL NETO","2237.5",".4"
"2017","1","FINANCIAMIENTO","-2237.5","-.4"
"2017","2","INGRESOS Y DONACIONES","23525.2","4.4"
"2017","2","INGRESOS CORRIENTES","23155.9","4.4"
"2017","2","Ingresos Tributarios","12436.7","2.3"
"2017","2","Ingresos No Tributarios","1256.7",".2"
"2017","2","Tasa de Seguridad","443.9",".1"
"2017","2","Contribuciones para Pensiones y Seguro Social","2696.8",".5"
"2017","2","Ventas de Bienes y Servicios","4383.2",".8"
"2017","2","Intereses y Dividendos","1625",".3"
"2017","2","Transferencias Corrientes","9.7","0"
"2017","2","Otros","303.9",".1"
"2017","2","DONACIONES","291",".1"
"2017","2","INGRESOS DE CAPITAL","78.3","0"
"2017","2","Ingresos","69.3","0"
"2017","2","Transferencias de Capital","9","0"
"2017","2","GASTOS","21364.1","4"
"2017","2","GASTOS CORRIENTES","18605.2","3.5"
"2017","2","Sueldos y Salarios","8671.4","1.6"
"2017","2","Compra de Bienes y Servicios","5445.6","1"
"2017","2","Intereses Pagados","2052.8",".4"
