Año,Valor,Unidad
2018,"  2,987.00 ",Km
2017,"  2,924.67 ",Km
2016,"  2,923.50 ",Km
2014,"  2,908.00 ",km
2013,"  2,784.00 ",km
2012,"  2,771.00 ",km
