No.;Número de Expediente;Nombre de Proyecto;Tipo de Licencia Operativa/Funcional;Fecha de Emisión de Licencia;Municipio ;Departamento;Sector 
31;2003-A-366-F;INSTALACION DE ANTENA CORREDOR CORTES  MEGATEL  S. A. DE   C. V.   (SITIO PROFESIONALES;RENOVACION LICENCIA;21/1/2019;CHOLOMA;CORTES;TELECOMUNICACIONES
32;SLAS-0000515-2017;JEFATURA DEPARTAMENTAL DE SANTA BARBARA;FUNCIONAL;21/1/2019;SANTA BARBARA;SANTA BARBARA;INFRAESTRUCTURA
33;2007-A-89;FIBRAS DEL CARIBE  S A. DE C. V.;RENOVACION LICENCIA;21/1/2019;VILLANUEVA;CORTES;INDUSTRIAL
34;41-A-2001;AMPLIACION ETAPA DOS (2) DE RESIDENCIAL BELLO HORIZONTE;AMPLIACION  LICENCIA;21/1/2019;CHOLOMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
35;2005-A-406;GASOLINERA PUMA SUBIRANA;RENOVACION LICENCIA;22/1/2019;YORO;YORO;PETROLEO GAS E HIDROCARBUROS 
36;2011-A-189;MOLPEX  S. A. DE C. V. ;RENOVACION LICENCIA;22/1/2019;LA LIMA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
37;SLAS-0000075-2016;MAXI DESPENSA TOROCAGUA;FUNCIONAL;22/1/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
38;SLAS-0000188-2016;PUENTE SOBRE EL RIO PIOJO;FUNCIONAL;22/1/2019;MEAMBAR;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
39;2015-LA-00359;INDUSTRIAS NORTEAMERICANAS  S. DE R. L.;AUDITORIA;22/1/2019;CHOLOMA;CORTES;INDUSTRIAL
40;SLAS-0000116-2016;AGROFORESTAL CACAO FARALLONES;FUNCIONAL;22/1/2019;LIMON;COLON;FORESTAL
41;2006-A-776;INSTALACION DE ANTENA COLONIA LOS PINOS;RENOVACION LICENCIA;22/1/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;TELECOMUNICACIONES
42;2005-A-589-G;INSTALACION DE ANTENAS EL PARAISO MEGATEL  SITIO JACALEAPA;AUDITORIA;22/1/2019;YUSCARAN;EL PARAISO;TELECOMUNICACIONES
43;2008-A-331;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO LA UNION;RENOVACION LICENCIA;22/1/2019;EL PORVENIR;ATLANTIDA;TELECOMUNICACIONES
44;2007-A-364;ELECTROQUIMICA DE HONDURAS  S. A. ;RENOVACION LICENCIA;23/1/2019;PUERTO CORTES;CORTES;INDUSTRIAL
45;SLAS-0000042-2018;HOTEL MORALES;FUNCIONAL;23/1/2019;COMAYAGUA;COMAYAGUA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
46;2015-LA-003-UE;FINCA LA APINTAL;AUDITORIA;23/1/2019;NACAOME;VALLE;AGROPECUARIO
47;2009-A-370;DA- GAS JUTIAPA;RENOVACION LICENCIA;24/1/2019;JUTIAPA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
48;SLAS-0000041-2018;ESTACION DE SERVICIO TOMALA;FUNCIONAL;24/1/2019;JUTIAPA;ATLANTIDA;PETROLEO GAS E HIDROCARBUROS 
49;2014-LA-00154;FINCA CAMARONERA AQUAMAR;PROVISIONAL;24/1/2019;CHOLUTECA;CHOLUTECA;AGROPECUARIO
50;SLAS-0000597-2017;EOLICO LOS TABLONES/ SAN JUAN DE OJOJONA;FUNCIONAL;24/1/2019;OJOJONA;FRANCISCO MORAZAN;ENERGIA
51;2011-A-128;CONSTRUCCION DEL CENTRO COMERCIAL UNIPLAZA;RENOVACION LICENCIA;24/1/2019;SANTA ROSA DE COPAN;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
52;2014-LA-00094;LOTIFICACION RESIDENCIAL ORDOÑEZ;LICENCIA;28/1/2019;LA CEIBA;ATLANTIDA;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
53;SLAS-0000038-2016;MAXI DESPENSA SANTA ROSA DE COPAN;FUNCIONAL;28/1/2019;SANTA ROSA DE COPAN;COPAN;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
54;SLAS-0000085-2018;CHT DE MEXICO;FUNCIONAL;28/1/2019;VILLANUEVA;CORTES;SERVICIOS
55;SLAS-0000587-2017;MARISCOS CANALES  S. DE R. L.;FUNCIONAL;28/1/2019;SAN LORENZO;VALLE;AGROPECUARIO
56;SLAS-0000131-2016;HGPC AGRICOLA  S. A. DE C. V. PARA CULTIVO DE KING GRASS  FINCA CORTESITO;FUNCIONAL;28/1/2019;OMOA;CORTES;AGROPECUARIO
57;2007-A-1026;CONSTRUCCION DE TORRE PARA TELEFONIA CELULAR  SITIO  MIRASOL  ;RENOVACION LICENCIA;29/1/2019;SANTA RITA;COPAN;TELECOMUNICACIONES
58;29-A-2002;GENERACION DE ENERGIA PARA 267.4 MW DE POTENCIA;RENOVACION LICENCIA;30/1/2019;CHOLUTECA;CHOLUTECA;ENERGIA
59;2003-A-374;INSTALACION DE ANTENA COLONIA ;RENOVACION LICENCIA;30/1/2019;SANTA BARBARA;SANTA BARBARA;TELECOMUNICACIONES
60;2003-A-366-H;INSTALACION DE ANTENAS SITIO CORREDOR CORTES  MEGATEL (POTRERILLOS);RENOVACION LICENCIA;30/1/2019;POTRERILLOS;CORTES;TELECOMUNICACIONES
61;2008-A-510;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO CERRO CARBAJALES;RENOVACION LICENCIA;30/1/2019;OLANCHITO;YORO;TELECOMUNICACIONES
62;2008-A-2069;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO MONTEMAR;AUDITORIA;30/1/2019;OMOA;CORTES;TELECOMUNICACIONES
63;2008-A-1809;INSTALACION DE ANTENA JAMALTECA DEL MUNICIPIO DE SAN JERONIMO  DEPARTAMENTO DE COMAYAGUA  SERCOM  S. A. DE C. V.;AUDITORIA;30/1/2019;SAN JERONIMO;COMAYAGUA;TELECOMUNICACIONES
64;2009-A-291;INSTALACION DE ANTENA LA FORTUNA;AUDITORIA;30/1/2019;TELA;ATLANTIDA;TELECOMUNICACIONES
65;2009-A-210;INSTALACION DE ANTENA SANTA CRUZ MINAS;AUDITORIA;31/1/2019;QUIMISTAN;SANTA BARBARA;TELECOMUNICACIONES
66;2006-A-419;INSTALACION DE ANTENAS  MUNICIPIO DE JESUS DE OTORO  DEPARTAMENTO DE INTIBUCA  SERCOM  S. A. DE C. V. PARA EL SITIO DE JESUS DE OTORO II;RENOVACION LICENCIA;31/1/2019;JESUS DE OTORO;INTIBUCA;TELECOMUNICACIONES
67;2006-A-420-B;INSTALACION DE UNA TORRRE PARA TELEFONIA MOVIL  SITIO EL PROGRESO VI  MUNICIPIO DE EL PROGRESO  DEPARTAMENTO DE YORO  SERCOM  S. A. DE C. V.;AUDITORIA;31/1/2019;EL PROGRESO;YORO;TELECOMUNICACIONES
68;2007-A-263;INSTALACION DE ANTENA JUTICALPA III  MUNICIPIO DE JUTICALPA DE PARTAMENTO DE OLANCHO;RENOVACION LICENCIA;31/1/2019;OLANCHO;JUTICALPA;TELECOMUNICACIONES
69;2008-A-1915;INSTALACION DE ANTENA VILLA SANTA  DEL MUNICIPIO DE DANLI  DEPARTAMENTO DE EL PARAISO  SERCOM  S. A. DE C. V.;AUDITORIA;6/2/2019;DANLI;EL PARAISO;TELECOMUNICACIONES
70;2006-A-513;INSTALACION DE ANTENA TEUPASENTI   MUNICIPIO DE TEUPASENTI  DEPARTAMENTO DE EL PARAISO  SERCOM  S. A. DE C. V.;RENOVACION LICENCIA;6/2/2019;TEUPASENTI;EL PARAISO;TELECOMUNICACIONES
71;2005-A-63-V;INSTALACION DE ANTENAS  SAN PEDRO SULA MEGATEL  SITIO PLANETA;RENOVACION LICENCIA;6/2/2019;SAN PEDRO SULA;CORTES;TELECOMUNICACIONES
72;2003-A-366-G;INSTALACION DE ANTENA CORREDOR CORTES  MEGATEL  S. A. DE   C. V.   (SITIO LAS PILAS 02);RENOVACION LICENCIA;6/2/2019;CHOLOMA;CORTES;TELECOMUNICACIONES
73;2008-A-1467;PARQUE LOGISTICO LAS TORRES;RENOVACION LICENCIA;6/2/2019;SAN PEDRO SULA;CORTES;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
74;2003-A-366-J;INSTALACION DE ANTENAS CORREDOR CORTES  MEGATEL  S. A. DE   C. V.  SITIO VILLANUEVA 02;RENOVACION LICENCIA;6/2/2019;VILLANUEVA;CORTES;TELECOMUNICACIONES
75;2003-A-371-B;INSTALACION DE ANTENA CORREDOR COLON  MEGATEL   SITIO BARRIO LOS LAURELES;RENOVACION LICENCIA;6/2/2019;TOCOA;COLON;TELECOMUNICACIONES
76;2008-A-1738;EMPLAZAMIENTO DE CELDAS DE TELEFONIA CELULAR  SITIO VIRGINIA (HN01610);AUDITORIA;6/2/2019;VIRGINIA;LEMPIRA;TELECOMUNICACIONES
77;2004-A-607;ACTUALIZACION DEL ESTUDIO DISEÑO FINAL  CONSTRUCCION Y SUPERVISION DEL CORREDOR LOGISTICO VILLA DE SAN ANTONIO -GOASCORAN;RENOVACION LICENCIA ;7/2/2019;LA MANI  SAN ANTONIO  AJUTERIQUE  SAN ANTONIO DEL NORTE  Y SAN JUAN  ARAMECINA  CARIDAD Y GOASCORAN;COMAYAGUA  LA PAZ  Y VALLE;INFRAESTRUCTURA  CONSTRUCCION Y VIVIENDA
78;SLAS-0000302-2016;LABORATORIOS KARNEL  S. A.;FUNCIONAL;12/2/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;INDUSTRIAL
79;2005-AA-652;GRANJA  PORCINA CER-AGRO;AUDITORIA;12/2/2019;DISTRITO CENTRAL;FRANCISCO MORAZAN;AGROPECUARIO
