Edades,Total Nacional,Total Hombre,Total Mujer,Total Urbana,Hombre Urbana,Mujer Urbana,Total Rural,Hombre Rural,Mujer Rural
Total,8570154,4102079,4468074,4617757,2128167,2489589,3952397,1973912,1978485
De 00 - 04 Años,924009,475720,448289,459214,234980,224235,464794,240740,224054
De 05 - 09 Años,897451,456628,440823,442048,230397,211652,455403,226232,229171
De 10 - 11 Años,364756,185519,179236,182567,95555,87012,182188,89965,92224
De 12 - 14 Años,604744,310167,294577,290998,146924,144074,313746,163243,150503
De 15 - 18 Años,867163,452981,414182,443146,222421,220724,424017,230560,193458
De 19 - 24 Años,1031397,485813,545584,587236,262331,324905,444161,223482,220679
De 25 - 29 Años,633036,291693,341344,368424,163429,204995,264613,128264,136349
De 30 - 34 Años,553140,234950,318190,317653,129987,187667,235487,104963,130523
De 35 - 39 Años,533517,225545,307972,302467,122188,180279,231050,103357,127692
De 40 - 44 Años,421600,192474,229126,237778,100931,136847,183822,91543,92278
De 45 - 49 Años,370812,169330,201483,209611,91125,118487,161201,78205,82996
De 50 - 54 Años,330377,145879,184498,188775,78726,110049,141602,67154,74449
De 55 - 59 Años,277115,124292,152822,154948,66639,88309,122167,57654,64513
De 60 - 64 Años,239882,109571,130311,131625,55483,76142,108257,54088,54169
De 65 y mas Años,521155,241517,279638,301266,127054,174212,219889,114463,105426
