Año,Valor,Unidad
2018,"  10,230.43 ",Km
2017,"  10,170.76 ",Km
2016,"  9,658.38 ",Km
2015,"  9,637.62 ",Km
2014,"  9,252.00 ",km
2013,"  8,965.00 ",km
2012,"  8,686.00 ",km
2011,"  8,325.00 ",km
2010,"  8,336.00 ",km
2009,"  8,294.00 ",km
2008,"  8,253.00 ",km
