Año,Valor,Unidad
2018,"  3,309.19 ",Km
2017,"  3,320.12 ",Km
2016,"  3,320.12 ",Km
2015,"  3,320.12 ",Km
2014,"  3,320.00 ",km
2013,"  3,279.00 ",km
2012,"  3,285.00 ",km
2011,"  3,285.00 ",km
2010,"  3,280.00 ",km
2009,"  3,280.00 ",km
2008,"  3,280.00 ",km
