Año,Valor,Unidad
2018,"  16,476.75 ",Km
2017,"  16,415.55 ",Km
2016,"  15,902.00 ",Km
2015,"  15,881.24 ",Km
2014,"  15,481.00 ",km
2013,"  15,028.00 ",km
2012,"  14,741.00 ",km
2011,"  14,369.00 ",km
2010,"  14,296.00 ",km
2009,"  14,239.00 ",km
2008,"  14,084.00 ",km
