Region Forestal,area controlada (area en ha),Volumen afectado en areas controladas (m³)
Atlantida,0,0
Comayagua,7.19,298.87
El Paraiso,47.58,3305.92
Francisco Morazan,3.59,129.5
Noreste de Olancho,0.85,68.49
La Mosquitia,0,0
Noroccidente,67.38,1138.59
Occidente,196.84,1783.74
Olancho,17.24,1197.46
El Pacifico,1.41,223.76
Biosfera del Rio Platano,0,0
Yoro,12.33,438.9
