Numero,Departamento,Nombre,Codigo Municipal,Shape_Area,Km2,Densidad,Indice de Riesgo Municipal
226,Olancho,Esquipulas del Norte,1507,480662345.87,480.66,13.37,5.80
227,Olancho,Gualaco,1508,2225375992.72,2225.38,7.76,5.30
228,Olancho,Guarizama,1509,160637579.50,160.64,41.45,4.00
229,Olancho,Guata,1510,671100220.30,671.10,14.08,5.50
230,Olancho,Guayape,1511,413551075.78,413.55,27.44,6.30
231,Olancho,Jano,1512,345598385.61,345.60,8.77,3.50
232,Olancho,La Union,1513,618422039.50,618.42,10.23,5.20
233,Olancho,Mangulile,1514,371712933.77,371.71,20.49,5.40
234,Olancho,Manto,1515,518062883.09,518.06,19.67,3.60
235,Olancho,Salama,1516,333638285.12,333.64,18.90,4.80
236,Olancho,San Esteban,1517,1901900578.88,1901.90,10.52,3.70
237,Olancho,San Francisco de Becerra,1518,291608504.85,291.61,23.53,4.10
238,Olancho,San Francisco de La Paz,1519,519676187.47,519.68,29.86,6.20
239,Olancho,Santa Maria del Real,1520,241081051.92,241.08,37.05,5.60
240,Olancho,Silca,1521,253088072.58,253.09,27.19,4.30
241,Olancho,Yocon,1522,246483568.09,246.48,37.13,5.10
242,Olancho,Patuca,1523,758431687.19,758.43,28.58,5.40
243,Santa Barbara,Santa Barbara,1601,301001188.25,301.00,97.25,5.80
244,Santa Barbara,Arada,1602,102949687.88,102.95,77.25,6.30
245,Santa Barbara,Atima,1603,195596145.00,195.60,61.23,5.70
246,Santa Barbara,Azacualpa,1604,199347372.98,199.35,81.02,5.50
247,Santa Barbara,Ceguaca,1605,51660430.37,51.66,74.20,5.70
248,Santa Barbara,Concepcion del Norte,1606,135006866.78,135.01,57.33,4.80
249,Santa Barbara,Concepcion del Sur,1607,64737455.35,64.74,82.52,6.20
250,Santa Barbara,Chinda,1608,65110875.12,65.11,60.96,5.40
251,Santa Barbara,El Nispero,1609,78143554.91,78.14,82.18,5.20
252,Santa Barbara,Gualala,1610,66325643.49,66.33,67.98,5.30
253,Santa Barbara,Ilama,1611,174666071.03,174.67,46.88,4.60
254,Santa Barbara,Macuelizo,1612,402927399.35,402.93,63.57,5.90
255,Santa Barbara,Naranjito,1613,139844910.61,139.85,72.97,5.60
256,Santa Barbara,Nuevo Celilac,1614,152117412.09,152.12,42.57,6.60
257,Santa Barbara,Petoa,1615,203511398.96,203.51,46.78,6.40
258,Santa Barbara,Proteccion,1616,154182659.71,154.18,86.40,5.70
259,Santa Barbara,Quimistan,1617,740911581.80,740.91,40.17,7.20
260,Santa Barbara,San Francisco de Ojuera,1618,178980152.21,178.98,29.97,6.20
261,Santa Barbara,San Jose de Colinas,1619,241449566.90,241.45,65.73,6.00
262,Santa Barbara,San Luis,1620,396087615.58,396.09,58.65,5.80
263,Santa Barbara,San Marcos,1621,219879797.70,219.88,56.15,5.80
264,Santa Barbara,San Nicolas,1622,101600142.67,101.60,105.71,4.90
