Categoria,Cantidad,Superficie terrestre (ha),Superficie marina (ha),Superficie total (ha)
Area de Manejo de Habitat por Especie,7,54050.27,20983.59,75033.87
Area de Produccion de agua,2,59921.84,0,59921.84
Area de Uso Multiple,5,52280.22,0,52280.22
Jardin Botanico,1,1962.48,0,1962.48
Monumento Cultural,5,3958.07,0,3958.07
Monumento Natural,2,5568.14,0,5568.14
Monumento Natural Marino,1,250.39,121762.44,122012.84
Parque Nacional,24,1188517.46,32614.35,1221131.81
Parque Nacional Marino,4,1878.67,1602901.2,1604779.87
Refugio de Vida Silvestre,15,149357.15,101139.35,250496.5
Reserva Biologica,16,362778.18,2357.67,365135.85
Reserva de Biosfera,2,1049225.66,34055.28,1083280.94
Reserva de Recursos,1,48055.2,0,48055.2
Reserva Forestal,2,70870.09,0,70870.09
Reserva Antropologica y Forestal,2,39035.89,0,39035.89
Zona de Reserva Ecologica,2,66312.26,0,66312.26
