Edades,Total Nacional,Total Hombre,Total Mujer,Total Urbana,Hombre Urbana,Mujer Urbana,Total Rural,Hombre Rural,Mujer Rural
Total,8859980,4229010,4630970,4814584,2219855,2594729,4045396,2009155,2036242
De 00 - 04 Años,950700,469787,480913,480716,240595,240121,469985,229192,240792
De 05 - 09 Años,972895,489741,483154,490772,249816,240956,482123,239925,242198
De 10 - 11 Años,359555,197365,162190,175388,92695,82693,184167,104670,79497
De 12 - 14 Años,545264,280960,264304,273647,138440,135207,271616,142520,129096
De 15 - 18 Años,879200,444861,434339,449098,226223,222876,430102,218639,211463
De 19 - 24 Años,1018125,481853,536272,579174,261540,317633,438951,220313,218639
De 25 - 29 Años,672733,320968,351766,398037,181587,216451,274696,139381,135315
De 30 - 34 Años,577086,249930,327155,343797,145080,198717,233288,104850,128439
De 35 - 39 Años,531841,230511,301330,308210,124466,183744,223631,106046,117586
De 40 - 44 Años,477589,213328,264261,259877,112306,147572,217712,101023,116689
De 45 - 49 Años,382356,179931,202425,213287,92541,120746,169069,87390,81679
De 50 - 54 Años,345158,150351,194807,192682,81677,111005,152476,68674,83802
De 55 - 59 Años,295206,135738,159468,165571,70681,94890,129634,65056,64578
De 60 - 64 Años,258245,117516,140728,143529,59037,84492,114716,58479,56237
De 65 y mas Años,594028,266169,327858,340798,143172,197626,253230,122997,130232
