DEPARTAMENTO,MUNICIPIO,COD,Terremotos,Inundaciones,Ciclon y Marejadas,Deslizamientos,Sequia,Natural,Violencia,Humano,PELIGRO Y E0.00POSICIoN,Desarrollo y Pobreza,Desigualdad,Dependencia,Vulnerabilidad Socioeconomica,Poblacion Desarraiga,Otros Grupos Vulnerables,Grupos Vulnerables,VULNERABILIDAD,Capacidad de Respuesta,Gobernanza,Institutional,Comunicacion,Infraestructura Fisica,Acceso a Educacion,Infraestructura,FALTA DE CAPACIDAD DE RESPUESTA,INFORM RISK,Rango
Santa Barbara,Proteccion,1617,6.8,0,0,9.7,0,5,8.4,8.4,7,9,8.5,8,8.5,1.8,6.4,4.5,7,6.7,6.4,6.6,9,9.1,7.3,8.5,7.7,7.2,9
Colon,Bonito Oriental,210,0,4.9,2,6.6,0,3.2,8.7,8.7,6.7,7.3,8.4,7,7.6,8.5,3.8,6.7,7.2,10,3.4,8.2,6.1,7.6,5.6,6.4,7.4,7.1,12
Copan,Florida,410,6.7,0,0,9,0,4.5,8.7,8.7,7.1,8.1,8.3,7.5,8,6.8,6,6.4,7.3,6.7,5.4,6.1,8.1,7.5,6.7,7.4,6.8,7.1,12
Choluteca,Apacilagua,602,6.9,9.8,0,6.4,9.7,7.8,6.8,6.8,7.3,8.3,9,6.5,7.9,2.1,6,4.3,6.4,4,8.9,7.1,9.3,9,6.7,8.3,7.8,7.1,12
Ocotepeque,Fraternidad,1405,6.4,8.9,0,6,5,6,6.6,6.6,6.3,8.8,7.6,7.4,7.9,3.2,5.6,4.5,6.5,10,9.2,9.7,7.7,6.9,6.7,7.1,8.7,7.1,12
Comayagua,Taulabe,321,7.8,0,0,8.8,5,5.5,8.9,8.9,7.6,6.2,6.6,6.3,6.4,5.3,7.5,6.5,6.5,10,3.5,8.2,5.3,5.4,4.8,5.2,7,7,16
Lempira,San Andres,1316,7.3,2.6,0,9.7,7.1,6.5,5.3,5.3,5.9,10,7,7.6,8.2,2.1,6,4.3,6.7,8.3,8,8.2,9.9,7.9,8.8,8.9,8.6,7,16
Olancho,Catacamas,1503,0,3.3,0,8.5,0,3.4,8.9,8.9,7,7.2,7.5,6.9,7.2,9.5,2.9,7.5,7.4,6.7,2.9,5.1,7.4,9.3,6,7.6,6.5,7,16
Yoro,Victoria,1810,5.5,0,0,9.9,4.5,5.5,8.8,8.8,7.5,7.8,7.8,7.6,7.7,4.3,6.2,5.3,6.7,5,6.6,5.9,8.8,8.6,5.7,7.7,6.9,7,16
Copan,San Agustin,414,6.5,4.4,0,0,4.9,3.6,7,7,5.6,8.9,8.9,6.7,8.2,3.4,6.4,5.1,6.9,10,6.9,8.9,7.4,7.9,9.4,8.2,8.6,6.9,20
